etab|x|y|annee|commune|secteur|acad|dep|nom_norme|ep|effectif_1er_cycle|ips_total|note_ecrit_dnb|ens_inf_35_ans
0881496Y|956567.3|6791059.5|2016|88160|privé sous contrat|Nancy-Metz|88|COLLEGE PRIVE NOTRE DAME SAINT JOSEPH|Hors EP|673|133.6|11.7|39.8
0881496Y|956567.3|6791059.5|2017|88160|privé sous contrat|Nancy-Metz|88|COLLEGE PRIVE NOTRE DAME SAINT JOSEPH|Hors EP|670|84.6|10.8|32.6
0890006Y|741953.2|6744277.1|2014|89024|public|Dijon|89|COLLEGE DENFERT ROCHEREAU|Hors EP|539|113.3|9.7|15.4
0890006Y|741953.2|6744277.1|2015|89024|public|Dijon|89|COLLEGE DENFERT ROCHEREAU|Hors EP|518|91.8|12.3|24.7
0890006Y|741953.2|6744277.1|2016|89024|public|Dijon|89|COLLEGE DENFERT ROCHEREAU|Hors EP|514|84.9|10|38.8
0890006Y|741953.2|6744277.1|2017|89024|public|Dijon|89|COLLEGE DENFERT ROCHEREAU|Hors EP|511|92.9|9.2|25.7
0890009B|768825.2|6710077.7|2014|89025|public|Dijon|89|COLLEGE PARC DES CHAUMES|Hors EP|428|135.4|12.8|17.5
0890009B|768825.2|6710077.7|2015|89025|public|Dijon|89|COLLEGE PARC DES CHAUMES|Hors EP|435|79|10.8|18.2
0890009B|768825.2|6710077.7|2016|89025|public|Dijon|89|COLLEGE PARC DES CHAUMES|Hors EP|412|103.5|10.7|20
0890009B|768825.2|6710077.7|2017|89025|public|Dijon|89|COLLEGE PARC DES CHAUMES|Hors EP|422|127.6|9.8|24.6
0890013F|759431.4|6745945.4|2014|89068|public|Dijon|89|COLLEGE PIERRE ET JEAN LEROUGE|Hors EP|397|101.3|10.1|7
0890013F|759431.4|6745945.4|2015|89068|public|Dijon|89|COLLEGE PIERRE ET JEAN LEROUGE|Hors EP|390|135.5|11|45.4
0890013F|759431.4|6745945.4|2016|89068|public|Dijon|89|COLLEGE PIERRE ET JEAN LEROUGE|Hors EP|388|102.2|10.3|31.9
0890013F|759431.4|6745945.4|2017|89068|public|Dijon|89|COLLEGE PIERRE ET JEAN LEROUGE|Hors EP|386|91.1|8.3|25.9
0890014G|707170.2|6754768.6|2014|89086|public|Dijon|89|COLLEGES DES CINQ RIVIERES|Hors EP|208|119|8.3|0
0890014G|707170.2|6754768.6|2015|89086|public|Dijon|89|COLLEGES DES CINQ RIVIERES|Hors EP|188|125.3|11.1|23.9
0890014G|707170.2|6754768.6|2016|89086|public|Dijon|89|COLLEGES DES CINQ RIVIERES|Hors EP|177|77.9|11.4|34.1
0890014G|707170.2|6754768.6|2017|89086|public|Dijon|89|COLLEGES DES CINQ RIVIERES|Hors EP|170|90|11.7|14
0890015H|737182|6723484.5|2014|89125|public|Dijon|89|COLLEGE JEAN ROCH COIGNET|Hors EP|347|98.6|12.1|26.1
0890015H|737182|6723484.5|2015|89125|public|Dijon|89|COLLEGE JEAN ROCH COIGNET|Hors EP|349|112.9|11.1|47.1
0890015H|737182|6723484.5|2016|89125|public|Dijon|89|COLLEGE JEAN ROCH COIGNET|Hors EP|329|91.4|10.5|34.9
0890015H|737182|6723484.5|2017|89125|public|Dijon|89|COLLEGE JEAN ROCH COIGNET|Hors EP|306|92.5|10.3|24.4
0890017K|738639.2|6762840.8|2014|89257|public|Dijon|89|COLLEGE PAUL FOURREY|REP|312|95.4|12.1|39.8
0890017K|738639.2|6762840.8|2015|89257|public|Dijon|89|COLLEGE PAUL FOURREY|REP|294|102.4|12.5|18.4
0890017K|738639.2|6762840.8|2016|89257|public|Dijon|89|COLLEGE PAUL FOURREY|REP|305|112|12.6|7.1
0890017K|738639.2|6762840.8|2017|89257|public|Dijon|89|COLLEGE PAUL FOURREY|REP|336|77.7|11.8|41.7
0890019M|775195.1|6733069.6|2014|89279|public|Dijon|89|COLLEGE MILES DE NOYERS|Hors EP|223|112.8|9.6|13.9
0890019M|775195.1|6733069.6|2015|89279|public|Dijon|89|COLLEGE MILES DE NOYERS|Hors EP|205|94.9|13.6|23.9
0890019M|775195.1|6733069.6|2016|89279|public|Dijon|89|COLLEGE MILES DE NOYERS|Hors EP|206|131|9.6|24.7
0890019M|775195.1|6733069.6|2017|89279|public|Dijon|89|COLLEGE MILES DE NOYERS|Hors EP|194|110.1|11.9|26.1
0890022R|704767.8|6726254.2|2014|89344|public|Dijon|89|COLLEGE DE PUISAYE|Hors EP|489|97.4|8.6|27.5
0890022R|704767.8|6726254.2|2015|89344|public|Dijon|89|COLLEGE DE PUISAYE|Hors EP|449|100.9|8.7|29.4
0890022R|704767.8|6726254.2|2016|89344|public|Dijon|89|COLLEGE DE PUISAYE|Hors EP|443|96.6|11.7|34
0890022R|704767.8|6726254.2|2017|89344|public|Dijon|89|COLLEGE DE PUISAYE|Hors EP|438|99.9|12.3|43.9
0890024T|754056.2|6766991.1|2014|89345|public|Dijon|89|COLLEGE MARCEL AYME|REP|530|112.7|10.2|14.8
0890024T|754056.2|6766991.1|2015|89345|public|Dijon|89|COLLEGE MARCEL AYME|REP|509|71|11.1|16.6
0890024T|754056.2|6766991.1|2016|89345|public|Dijon|89|COLLEGE MARCEL AYME|REP|526|100.8|14.2|13.9
0890024T|754056.2|6766991.1|2017|89345|public|Dijon|89|COLLEGE MARCEL AYME|REP|534|92.9|11.5|16.1
0890028X|707048.5|6786028.6|2014|89370|public|Dijon|89|COLLEGE DU GATINAIS EN BOURGOGNE|Hors EP|608|81.8|11.8|27.1
0890028X|707048.5|6786028.6|2015|89370|public|Dijon|89|COLLEGE DU GATINAIS EN BOURGOGNE|Hors EP|605|106.3|10.1|4.5
0890028X|707048.5|6786028.6|2016|89370|public|Dijon|89|COLLEGE DU GATINAIS EN BOURGOGNE|Hors EP|581|91.2|9.5|21.7
0890028X|707048.5|6786028.6|2017|89370|public|Dijon|89|COLLEGE DU GATINAIS EN BOURGOGNE|Hors EP|592|74.5|11.5|29.2
0890030Z|721413.8|6788783.8|2014|89387|public|Dijon|89|COLLEGE STEPHANE MALLARME|Hors EP|523|88.2|12.9|24.4
0890030Z|721413.8|6788783.8|2015|89387|public|Dijon|89|COLLEGE STEPHANE MALLARME|Hors EP|520|132.4|9.3|42.7
0890030Z|721413.8|6788783.8|2016|89387|public|Dijon|89|COLLEGE STEPHANE MALLARME|Hors EP|511|93.8|9|22.5
0890030Z|721413.8|6788783.8|2017|89387|public|Dijon|89|COLLEGE STEPHANE MALLARME|Hors EP|530|136.9|11.2|4.5
0890035E|722335.6|6737541.5|2014|89419|public|Dijon|89|COLLEGE PIERRE LAROUSSE|Hors EP|389|72|9|42.4
0890035E|722335.6|6737541.5|2015|89419|public|Dijon|89|COLLEGE PIERRE LAROUSSE|Hors EP|378|110.7|11.4|12.5
0890035E|722335.6|6737541.5|2016|89419|public|Dijon|89|COLLEGE PIERRE LAROUSSE|Hors EP|380|138.5|11.6|4.6
0890035E|722335.6|6737541.5|2017|89419|public|Dijon|89|COLLEGE PIERRE LAROUSSE|Hors EP|377|104.3|10.8|31.3
0890037G|755531.7|6729904.3|2014|89441|public|Dijon|89|COLLEGE ANDRE LEROI GOURHAN|Hors EP|275|83.5|9.4|18.2
0890037G|755531.7|6729904.3|2015|89441|public|Dijon|89|COLLEGE ANDRE LEROI GOURHAN|Hors EP|257|107.1|10.2|6
0890037G|755531.7|6729904.3|2016|89441|public|Dijon|89|COLLEGE ANDRE LEROI GOURHAN|Hors EP|252|99.2|11.5|24.8
0890037G|755531.7|6729904.3|2017|89441|public|Dijon|89|COLLEGE ANDRE LEROI GOURHAN|Hors EP|245|106.1|11.3|30.5
0890038H|740645.4|6792898.3|2014|89461|public|Dijon|89|COLLEGE GASTON RAMON|Hors EP|370|87.1|11.6|19.5
0890038H|740645.4|6792898.3|2015|89461|public|Dijon|89|COLLEGE GASTON RAMON|Hors EP|356|120.3|11.7|24.1
0890038H|740645.4|6792898.3|2016|89461|public|Dijon|89|COLLEGE GASTON RAMON|Hors EP|366|109.1|9.8|36.7
0890038H|740645.4|6792898.3|2017|89461|public|Dijon|89|COLLEGE GASTON RAMON|Hors EP|371|101|13.7|29.3
0890056C|741131|6744732.6|2014|89024|public|Dijon|89|COLLEGE BIENVENU MARTIN|REP|357|89.3|11.7|17.9
0890056C|741131|6744732.6|2015|89024|public|Dijon|89|COLLEGE BIENVENU MARTIN|REP|355|114.7|11.4|20.3
0890056C|741131|6744732.6|2016|89024|public|Dijon|89|COLLEGE BIENVENU MARTIN|REP|370|104.3|9.9|12.8
0890056C|741131|6744732.6|2017|89024|public|Dijon|89|COLLEGE BIENVENU MARTIN|REP|406|107.5|10.8|37.7
0890065M|729038.2|6764911.9|2014|89206|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT JACQUES|Hors EP|416|107.7|12.1|17.9
0890065M|729038.2|6764911.9|2015|89206|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT JACQUES|Hors EP|433|106.1|8.3|25.3
0890065M|729038.2|6764911.9|2016|89206|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT JACQUES|Hors EP|449|112.3|10.2|40.9
0890065M|729038.2|6764911.9|2017|89206|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT JACQUES|Hors EP|444|108.2|9.5|27.5
0890090P|742668.6|6745683.7|2014|89024|public|Dijon|89|COLLEGE ALBERT CAMUS|Hors EP|577|129.4|10|30.1
0890090P|742668.6|6745683.7|2015|89024|public|Dijon|89|COLLEGE ALBERT CAMUS|Hors EP|588|120.9|7.9|5.2
0890090P|742668.6|6745683.7|2016|89024|public|Dijon|89|COLLEGE ALBERT CAMUS|Hors EP|559|121.8|10.4|32.4
0890090P|742668.6|6745683.7|2017|89024|public|Dijon|89|COLLEGE ALBERT CAMUS|Hors EP|605|88.9|9.1|11.2
0890540D|722366.6|6775968.8|2014|89464|public|Dijon|89|COLLEGE CHATEAUBRIAND|Hors EP|689|75.6|11.4|6.5
0890540D|722366.6|6775968.8|2015|89464|public|Dijon|89|COLLEGE CHATEAUBRIAND|Hors EP|641|104|10.8|20.2
0890540D|722366.6|6775968.8|2016|89464|public|Dijon|89|COLLEGE CHATEAUBRIAND|Hors EP|619|101.6|13.5|39.6
0890540D|722366.6|6775968.8|2017|89464|public|Dijon|89|COLLEGE CHATEAUBRIAND|Hors EP|635|110.7|11.7|16.1
0890788Y|726966.5|6753206.6|2014|89003|public|Dijon|89|COLLEGE LA CROIX DE L ORME|Hors EP|486|107.8|10|45.9
0890788Y|726966.5|6753206.6|2015|89003|public|Dijon|89|COLLEGE LA CROIX DE L ORME|Hors EP|473|90.1|10.8|38.3
0890788Y|726966.5|6753206.6|2016|89003|public|Dijon|89|COLLEGE LA CROIX DE L ORME|Hors EP|479|109|12.6|35.8
0890788Y|726966.5|6753206.6|2017|89003|public|Dijon|89|COLLEGE LA CROIX DE L ORME|Hors EP|421|119.4|11.5|71.3
0890789Z|743741.5|6743048.5|2014|89024|public|Dijon|89|COLLEGE PAUL BERT|Hors EP|658|98.6|11.5|13.7
0890789Z|743741.5|6743048.5|2015|89024|public|Dijon|89|COLLEGE PAUL BERT|Hors EP|639|129.7|11.6|48.7
0890789Z|743741.5|6743048.5|2016|89024|public|Dijon|89|COLLEGE PAUL BERT|Hors EP|646|118|8.8|34.5
0890789Z|743741.5|6743048.5|2017|89024|public|Dijon|89|COLLEGE PAUL BERT|Hors EP|603|116.4|11.9|34.6
0890790A|722505.8|6788108.6|2014|89387|public|Dijon|89|COLLEGE CHAMPS PLAISANTS|REP|693|77.8|8.5|27.4
0890790A|722505.8|6788108.6|2015|89387|public|Dijon|89|COLLEGE CHAMPS PLAISANTS|REP|690|77.2|9|36.3
0890790A|722505.8|6788108.6|2016|89387|public|Dijon|89|COLLEGE CHAMPS PLAISANTS|REP|734|92.9|13|45.9
0890790A|722505.8|6788108.6|2017|89387|public|Dijon|89|COLLEGE CHAMPS PLAISANTS|REP|765|114.2|10.5|44.3
0890822K|768801.9|6710692.8|2014|89025|public|Dijon|89|COLLEGE MAURICE CLAVEL|Hors EP|362|119.6|9.1|12
0890822K|768801.9|6710692.8|2015|89025|public|Dijon|89|COLLEGE MAURICE CLAVEL|Hors EP|350|103.6|10.7|21.5
0890822K|768801.9|6710692.8|2016|89025|public|Dijon|89|COLLEGE MAURICE CLAVEL|Hors EP|351|123|10|32.2
0890822K|768801.9|6710692.8|2017|89025|public|Dijon|89|COLLEGE MAURICE CLAVEL|Hors EP|339|92.3|9.2|25.4
0890823L|715270.5|6797905.5|2014|89309|public|Dijon|89|COLLEGE RESTIF DE LA BRETONNE|Hors EP|511|77.5|8|48.7
0890823L|715270.5|6797905.5|2015|89309|public|Dijon|89|COLLEGE RESTIF DE LA BRETONNE|Hors EP|509|78.2|10.1|7.5
0890823L|715270.5|6797905.5|2016|89309|public|Dijon|89|COLLEGE RESTIF DE LA BRETONNE|Hors EP|491|108.7|9.9|29.9
0890823L|715270.5|6797905.5|2017|89309|public|Dijon|89|COLLEGE RESTIF DE LA BRETONNE|Hors EP|477|82.2|11.8|17.4
0890937K|731582.1|6764048.6|2014|89206|public|Dijon|89|COLLEGE MARIE NOEL|REP|571|69.3|9.9|55.1
0890937K|731582.1|6764048.6|2015|89206|public|Dijon|89|COLLEGE MARIE NOEL|REP|533|79.2|10.6|24.6
0890937K|731582.1|6764048.6|2016|89206|public|Dijon|89|COLLEGE MARIE NOEL|REP|485|112.1|11.5|0
0890937K|731582.1|6764048.6|2017|89206|public|Dijon|89|COLLEGE MARIE NOEL|REP|486|83.8|10|10.9
0890977D|737740.1|6763349.4|2014|89257|public|Dijon|89|COLLEGE JACQUES PREVERT|REP|438|113.9|9.1|39.1
0890977D|737740.1|6763349.4|2015|89257|public|Dijon|89|COLLEGE JACQUES PREVERT|REP|450|133.2|11.9|38
0890977D|737740.1|6763349.4|2016|89257|public|Dijon|89|COLLEGE JACQUES PREVERT|REP|474|106.3|8.9|14.7
0890977D|737740.1|6763349.4|2017|89257|public|Dijon|89|COLLEGE JACQUES PREVERT|REP|449|104.2|8.8|32.2
0890979F|787597.2|6742073.9|2014|89005|public|Dijon|89|COLLEGE CHENEVIERES DES ARBRES|Hors EP|238|91|10.1|40
0890979F|787597.2|6742073.9|2015|89005|public|Dijon|89|COLLEGE CHENEVIERES DES ARBRES|Hors EP|241|100.9|10.6|32.1
0890979F|787597.2|6742073.9|2016|89005|public|Dijon|89|COLLEGE CHENEVIERES DES ARBRES|Hors EP|223|86.6|11.1|47.6
0890979F|787597.2|6742073.9|2017|89005|public|Dijon|89|COLLEGE CHENEVIERES DES ARBRES|Hors EP|203|84|12.7|5.8
0890980G|773868.3|6751871.5|2014|89418|public|Dijon|89|COLLEGE ABEL MINARD|REP|484|130.1|10.2|28.6
0890980G|773868.3|6751871.5|2015|89418|public|Dijon|89|COLLEGE ABEL MINARD|REP|477|105.1|9.2|13.4
0890980G|773868.3|6751871.5|2016|89418|public|Dijon|89|COLLEGE ABEL MINARD|REP|467|100.6|13|31.4
0890980G|773868.3|6751871.5|2017|89418|public|Dijon|89|COLLEGE ABEL MINARD|REP|449|116.2|8.8|40.7
0891043A|740168.9|6745299.6|2014|89346|public|Dijon|89|COLLEGE JEAN BERTIN|Hors EP|606|111.8|9.6|31.7
0891043A|740168.9|6745299.6|2015|89346|public|Dijon|89|COLLEGE JEAN BERTIN|Hors EP|606|103.7|11.1|21.1
0891043A|740168.9|6745299.6|2016|89346|public|Dijon|89|COLLEGE JEAN BERTIN|Hors EP|588|101.6|9.1|8.9
0891043A|740168.9|6745299.6|2017|89346|public|Dijon|89|COLLEGE JEAN BERTIN|Hors EP|585|97|9.6|22.4
0891053L|768334.3|6710021.9|2014|89025|privé sous contrat|Dijon|89|COLLEGE PRIVE JEANNE D ARC|Hors EP|131|116.7|12.7|25
0891053L|768334.3|6710021.9|2015|89025|privé sous contrat|Dijon|89|COLLEGE PRIVE JEANNE D ARC|Hors EP|161|92.1|9.8|23.5
0891053L|768334.3|6710021.9|2016|89025|privé sous contrat|Dijon|89|COLLEGE PRIVE JEANNE D ARC|Hors EP|168|105.5|9.2|29.2
0891053L|768334.3|6710021.9|2017|89025|privé sous contrat|Dijon|89|COLLEGE PRIVE JEANNE D ARC|Hors EP|164|115.5|11.5|24.7
0891054M|741862.1|6745821|2014|89024|privé sous contrat|Dijon|89|COLLEGE SAINT JOSEPH LA SALLE|Hors EP|722|81.7|11.3|16.2
0891054M|741862.1|6745821|2015|89024|privé sous contrat|Dijon|89|COLLEGE SAINT JOSEPH LA SALLE|Hors EP|721|110.8|9.3|44.4
0891054M|741862.1|6745821|2016|89024|privé sous contrat|Dijon|89|COLLEGE SAINT JOSEPH LA SALLE|Hors EP|747|103.6|9.6|5.7
0891054M|741862.1|6745821|2017|89024|privé sous contrat|Dijon|89|COLLEGE SAINT JOSEPH LA SALLE|Hors EP|739|78.3|11.3|15.2
0891055N|721451.8|6788588.2|2014|89387|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT ETIENNE|Hors EP|482|83.4|9.9|26.4
0891055N|721451.8|6788588.2|2015|89387|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT ETIENNE|Hors EP|504|107.8|10.2|5
0891055N|721451.8|6788588.2|2016|89387|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT ETIENNE|Hors EP|508|90.4|9.5|37.4
0891055N|721451.8|6788588.2|2017|89387|privé sous contrat|Dijon|89|COLLEGE PRIVE SAINT ETIENNE|Hors EP|507|86.5|10|0.7
0891057R|745383.1|6766332.3|2014|89055|public|Dijon|89|COLLEGE PHILIPPE COUSTEAU|Hors EP|282|112.1|11.1|24.4
0891057R|745383.1|6766332.3|2015|89055|public|Dijon|89|COLLEGE PHILIPPE COUSTEAU|Hors EP|271|123.9|12.1|14.1
0891057R|745383.1|6766332.3|2016|89055|public|Dijon|89|COLLEGE PHILIPPE COUSTEAU|Hors EP|273|91.7|10.5|0.5
0891057R|745383.1|6766332.3|2017|89055|public|Dijon|89|COLLEGE PHILIPPE COUSTEAU|Hors EP|261|103.3|8.4|14.1
0891093E|721258.9|6788663.3|2014|89387|public|Dijon|89|COLLEGE MONTPEZAT|Hors EP|438|114.9|11.9|34.1
0891093E|721258.9|6788663.3|2015|89387|public|Dijon|89|COLLEGE MONTPEZAT|Hors EP|452|150.9|12.2|5
0891093E|721258.9|6788663.3|2016|89387|public|Dijon|89|COLLEGE MONTPEZAT|Hors EP|456|105|9.9|40.3
0891093E|721258.9|6788663.3|2017|89387|public|Dijon|89|COLLEGE MONTPEZAT|Hors EP|447|87.3|11.2|22.9
0891186F|705467.7|6804428.7|2014|89460|public|Dijon|89|COLLEGE CLAUDE DEBUSSY|Hors EP|657|125.7|11.3|14.8
0891186F|705467.7|6804428.7|2015|89460|public|Dijon|89|COLLEGE CLAUDE DEBUSSY|Hors EP|649|74.4|11.1|45.9
0891186F|705467.7|6804428.7|2016|89460|public|Dijon|89|COLLEGE CLAUDE DEBUSSY|Hors EP|628|98.3|9.3|12.1
0891186F|705467.7|6804428.7|2017|89460|public|Dijon|89|COLLEGE CLAUDE DEBUSSY|Hors EP|595|80.6|8.9|0
0891235J|719147.6|6787352.2|2014|89287|public|Dijon|89|COLLEGE ANDRE MALRAUX|Hors EP|554|89.4|12.4|26.4
0891235J|719147.6|6787352.2|2015|89287|public|Dijon|89|COLLEGE ANDRE MALRAUX|Hors EP|571|97.7|10.4|5.1
0891235J|719147.6|6787352.2|2016|89287|public|Dijon|89|COLLEGE ANDRE MALRAUX|Hors EP|577|114|12.7|35.5
0891235J|719147.6|6787352.2|2017|89287|public|Dijon|89|COLLEGE ANDRE MALRAUX|Hors EP|596|100.5|11.6|10.2
0900006T|988978.8|6732767.1|2014|90010|public|BesanÃ§on|90|COLLEGE LEONARD DE VINCI|REP|562|83.1|10.7|31.1
0900006T|988978.8|6732767.1|2015|90010|public|BesanÃ§on|90|COLLEGE LEONARD DE VINCI|REP|554|97.2|12.8|29.4
0900006T|988978.8|6732767.1|2016|90010|public|BesanÃ§on|90|COLLEGE LEONARD DE VINCI|REP|577|73|9.5|58.7
0900006T|988978.8|6732767.1|2017|90010|public|BesanÃ§on|90|COLLEGE LEONARD DE VINCI|REP|605|121.3|8.5|29.8
0900007U|1000303.2|6719705|2014|90033|public|BesanÃ§on|90|COLLEGE JULES FERRY|Hors EP|419|98|9.7|34
0900007U|1000303.2|6719705|2015|90033|public|BesanÃ§on|90|COLLEGE JULES FERRY|Hors EP|441|78.6|6.8|13.9
0900007U|1000303.2|6719705|2016|90033|public|BesanÃ§on|90|COLLEGE JULES FERRY|Hors EP|425|104.1|11.5|33.3
0900007U|1000303.2|6719705|2017|90033|public|BesanÃ§on|90|COLLEGE JULES FERRY|Hors EP|467|93.2|10.9|31.5
0900009W|987292.5|6744837.4|2014|90052|public|BesanÃ§on|90|COLLEGE VAL DE ROSEMONT|Hors EP|442|122.1|12.1|33.3
0900009W|987292.5|6744837.4|2015|90052|public|BesanÃ§on|90|COLLEGE VAL DE ROSEMONT|Hors EP|419|113|13.1|42.7
0900009W|987292.5|6744837.4|2016|90052|public|BesanÃ§on|90|COLLEGE VAL DE ROSEMONT|Hors EP|409|89.1|9.2|42.8
0900009W|987292.5|6744837.4|2017|90052|public|BesanÃ§on|90|COLLEGE VAL DE ROSEMONT|Hors EP|410|120.5|12.8|33.7
0900011Y|1000553.1|6730950.6|2014|90071|public|BesanÃ§on|90|COLLEGE CAMILLE CLAUDEL|Hors EP|379|67.4|10.2|29.1
0900011Y|1000553.1|6730950.6|2015|90071|public|BesanÃ§on|90|COLLEGE CAMILLE CLAUDEL|Hors EP|399|82.4|10.4|32
0900011Y|1000553.1|6730950.6|2016|90071|public|BesanÃ§on|90|COLLEGE CAMILLE CLAUDEL|Hors EP|393|122.1|11.7|22.9
0900011Y|1000553.1|6730950.6|2017|90071|public|BesanÃ§on|90|COLLEGE CAMILLE CLAUDEL|Hors EP|385|112.2|9.6|14.1
0900013A|997540.4|6744649.9|2014|90089|public|BesanÃ§on|90|COLLEGE MICHEL COLUCCI|Hors EP|346|104.2|10.6|41.2
0900013A|997540.4|6744649.9|2015|90089|public|BesanÃ§on|90|COLLEGE MICHEL COLUCCI|Hors EP|337|120.1|9.5|29
0900013A|997540.4|6744649.9|2016|90089|public|BesanÃ§on|90|COLLEGE MICHEL COLUCCI|Hors EP|322|85.2|5.7|49.1
0900013A|997540.4|6744649.9|2017|90089|public|BesanÃ§on|90|COLLEGE MICHEL COLUCCI|Hors EP|319|104.4|10.8|27
0900014B|988583.1|6736691.4|2014|90099|public|BesanÃ§on|90|COLLEGE RENE GOSCINNY|Hors EP|574|116.6|10.3|27.7
0900014B|988583.1|6736691.4|2015|90099|public|BesanÃ§on|90|COLLEGE RENE GOSCINNY|Hors EP|566|105.2|10.4|35.4
0900014B|988583.1|6736691.4|2016|90099|public|BesanÃ§on|90|COLLEGE RENE GOSCINNY|Hors EP|557|78.8|11.3|32.6
0900014B|988583.1|6736691.4|2017|90099|public|BesanÃ§on|90|COLLEGE RENE GOSCINNY|Hors EP|571|78.5|13.8|42.7
0900017E|989168.7|6734317|2014|90010|public|BesanÃ§on|90|COLLEGE CHATEAUDUN|Hors EP|414|134.9|9.9|24.4
0900017E|989168.7|6734317|2015|90010|public|BesanÃ§on|90|COLLEGE CHATEAUDUN|Hors EP|393|81.2|10.1|10.6
0900017E|989168.7|6734317|2016|90010|public|BesanÃ§on|90|COLLEGE CHATEAUDUN|Hors EP|378|105.8|11.8|0
0900017E|989168.7|6734317|2017|90010|public|BesanÃ§on|90|COLLEGE CHATEAUDUN|Hors EP|344|101.4|11.4|33
0900018F|989481.5|6733697.2|2014|90010|public|BesanÃ§on|90|COLLEGE ARTHUR RIMBAUD|Hors EP|433|105|8.2|46
0900018F|989481.5|6733697.2|2015|90010|public|BesanÃ§on|90|COLLEGE ARTHUR RIMBAUD|Hors EP|454|69.6|8.7|30.8
0900018F|989481.5|6733697.2|2016|90010|public|BesanÃ§on|90|COLLEGE ARTHUR RIMBAUD|Hors EP|439|95.8|8.4|45.3
0900018F|989481.5|6733697.2|2017|90010|public|BesanÃ§on|90|COLLEGE ARTHUR RIMBAUD|Hors EP|454|98.1|10.3|15.3
0900032W|994674.5|6732649.6|2014|90026|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE LA PROVIDENCE|Hors EP|170|116.3|8.7|23.5
0900032W|994674.5|6732649.6|2015|90026|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE LA PROVIDENCE|Hors EP|170|79.1|11|39.4
0900032W|994674.5|6732649.6|2016|90026|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE LA PROVIDENCE|Hors EP|160|106.2|10.9|20.1
0900032W|994674.5|6732649.6|2017|90026|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE LA PROVIDENCE|Hors EP|157|110.9|9.4|17.4
0900235S|989425.4|6732977.3|2014|90010|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE NOTRE DAME DES ANGES|Hors EP|278|107.6|12.5|55.4
0900235S|989425.4|6732977.3|2015|90010|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE NOTRE DAME DES ANGES|Hors EP|234|92.7|10.1|45.3
0900235S|989425.4|6732977.3|2016|90010|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE NOTRE DAME DES ANGES|Hors EP|250|100.6|10|32.4
0900235S|989425.4|6732977.3|2017|90010|privé sous contrat|BesanÃ§on|90|COLLEGE PRIVE NOTRE DAME DES ANGES|Hors EP|236|108|8.5|49.5
0900237U|990223.8|6731043.6|2014|90032|public|BesanÃ§on|90|COLLEGE MOZART|Hors EP|515|87.4|8.4|12.8
0900237U|990223.8|6731043.6|2015|90032|public|BesanÃ§on|90|COLLEGE MOZART|Hors EP|518|106.9|10.8|57.7
0900237U|990223.8|6731043.6|2016|90032|public|BesanÃ§on|90|COLLEGE MOZART|Hors EP|527|118|9.9|2.2
0900237U|990223.8|6731043.6|2017|90032|public|BesanÃ§on|90|COLLEGE MOZART|Hors EP|542|103.6|8.9|42.3
0900275K|994837.1|6717641.6|2014|90009|public|BesanÃ§on|90|COLLEGE SAINT EXUPERY|Hors EP|378|90.8|10.5|49.2
0900275K|994837.1|6717641.6|2015|90009|public|BesanÃ§on|90|COLLEGE SAINT EXUPERY|Hors EP|387|109|13.1|7.9
0900275K|994837.1|6717641.6|2016|90009|public|BesanÃ§on|90|COLLEGE SAINT EXUPERY|Hors EP|379|139.4|11.2|49.2
0900275K|994837.1|6717641.6|2017|90009|public|BesanÃ§on|90|COLLEGE SAINT EXUPERY|Hors EP|402|97.1|12.5|24.1
0900277M|995569.5|6723675|2014|90072|public|BesanÃ§on|90|COLLEGE LUCIE AUBRAC|Hors EP|414|109.5|8.7|3.3
0900277M|995569.5|6723675|2015|90072|public|BesanÃ§on|90|COLLEGE LUCIE AUBRAC|Hors EP|376|105|12.3|43.9
0900277M|995569.5|6723675|2016|90072|public|BesanÃ§on|90|COLLEGE LUCIE AUBRAC|Hors EP|380|102.8|10|24.4
0900277M|995569.5|6723675|2017|90072|public|BesanÃ§on|90|COLLEGE LUCIE AUBRAC|Hors EP|370|81.5|8.3|39.6
0900295G|991267.5|6733799.3|2014|90010|public|BesanÃ§on|90|COLLEGE VAUBAN|REP|466|123|11.7|5.8
0900295G|991267.5|6733799.3|2015|90010|public|BesanÃ§on|90|COLLEGE VAUBAN|REP|522|99.1|10.4|21.1
0900295G|991267.5|6733799.3|2016|90010|public|BesanÃ§on|90|COLLEGE VAUBAN|REP|546|115.8|8.1|47.2
0900295G|991267.5|6733799.3|2017|90010|public|BesanÃ§on|90|COLLEGE VAUBAN|REP|586|97.4|10|4.3
